City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6333,147.9167,-35.09,99,100,3.47,RU,1675830135
1,upata,8.0086,-62.3989,71.19,94,0,4.12,VE,1675830136
2,nikolskoye,59.7035,30.7861,30.09,86,100,9.71,RU,1675830137
3,hilo,19.7297,-155.09,74.28,91,100,6.91,US,1675830138
4,yellowknife,62.456,-114.3525,-3.44,84,100,6.91,CA,1675830138
5,paralimni,35.0375,33.9833,41.49,69,22,8.99,CY,1675830139
6,bluff,-46.6,168.3333,53.98,67,48,27.63,NZ,1675830139
7,grindavik,63.8424,-22.4338,26.55,93,100,29.93,IS,1675830140
8,rikitea,-23.1203,-134.9692,79.79,70,52,8.95,PF,1675830140
9,arraial do cabo,-22.9661,-42.0278,74.66,92,100,5.06,BR,1675830141
10,meadow lake,34.8014,-106.5436,34.66,80,99,2.73,US,1675830141
11,puerto ayora,-0.7393,-90.3518,78.55,92,44,4.0,EC,1675830028
12,jamestown,42.097,-79.2353,37.02,95,100,9.22,US,1675829931
13,leningradskiy,69.3833,178.4167,-25.55,95,100,4.76,RU,1675830143
14,castro,-24.7911,-50.0119,60.91,96,53,4.92,BR,1675830143
15,albany,42.6001,-73.9662,36.23,77,81,4.07,US,1675829937
16,sistranda,63.7256,8.834,37.36,76,100,14.14,NO,1675830144
17,faanui,-16.4833,-151.75,81.0,72,25,11.65,PF,1675830145
18,lysychovo,48.4968,23.2899,18.14,93,7,5.59,UA,1675830146
19,ranong,9.9658,98.6348,91.33,54,11,2.82,TH,1675830038
20,tupik,54.4253,119.9327,-4.65,90,57,0.83,RU,1675830146
21,viedma,-40.8135,-62.9967,66.54,62,34,8.59,AR,1675830147
22,bambous virieux,-20.3428,57.7575,80.85,78,40,11.5,MU,1675830148
23,manga,11.6636,-1.0731,78.19,17,50,7.96,BF,1675830148
24,roald,62.5833,6.1333,46.54,49,84,19.57,NO,1675830149
25,cape town,-33.9258,18.4232,69.91,76,20,14.0,ZA,1675830149
26,ostrovnoy,68.0531,39.5131,29.1,79,10,19.91,RU,1675830150
27,cidreira,-30.1811,-50.2056,75.11,82,7,13.87,BR,1675830150
28,vardo,70.3705,31.1107,31.98,74,19,11.5,NO,1675829987
29,chino valley,34.7575,-112.4538,40.62,47,0,5.75,US,1675830015
30,griffith,41.5284,-87.4237,35.06,89,0,5.75,US,1675830151
31,hithadhoo,-0.6,73.0833,81.27,73,13,7.07,MV,1675830152
32,paita,-5.0892,-81.1144,75.56,81,78,8.16,PE,1675830153
33,torbay,47.6666,-52.7314,27.39,85,75,25.32,CA,1675830154
34,ushuaia,-54.8,-68.3,51.46,71,40,3.44,AR,1675830154
35,punta arenas,-53.15,-70.9167,55.51,71,0,14.97,CL,1675830155
36,cockburn town,21.4612,-71.1419,77.86,74,1,23.29,TC,1675830155
37,mahebourg,-20.4081,57.7,80.89,78,40,11.5,MU,1675830156
38,ribeira grande,38.5167,-28.7,54.77,64,45,7.0,PT,1675830157
39,hobart,-42.8794,147.3294,63.05,66,75,13.8,AU,1675830009
40,sitka,57.0531,-135.33,35.49,80,75,0.0,US,1675829897
41,houma,29.5958,-90.7195,66.99,92,40,5.75,US,1675830158
42,atuona,-9.8,-139.0333,79.03,76,22,16.62,PF,1675830159
43,kaitangata,-46.2817,169.8464,58.86,49,21,14.81,NZ,1675830159
44,buala,-8.145,159.5921,81.88,83,93,7.7,SB,1675830160
45,port elizabeth,-33.918,25.5701,67.32,93,40,8.05,ZA,1675830016
46,husavik,66.0449,-17.3389,23.31,73,87,17.52,IS,1675830160
47,new norfolk,-42.7826,147.0587,62.71,36,5,6.08,AU,1675830162
